01.png, 1, 1, 50, 50, 0, 0, 0, 0
02.png, 1, 53, 50, 50, 0, 0, 0, 0
03.png, 1, 105, 50, 50, 0, 0, 0, 0
04.png, 1, 157, 50, 50, 0, 0, 0, 0
05.png, 1, 209, 50, 50, 0, 0, 0, 0
06.png, 1, 261, 50, 50, 0, 0, 0, 0
07.png, 1, 313, 50, 50, 0, 0, 0, 0
08.png, 1, 365, 50, 50, 0, 0, 0, 0
09.png, 1, 417, 50, 50, 0, 0, 0, 0
10.png, 1, 469, 50, 50, 0, 0, 0, 0
11.png, 1, 521, 50, 50, 0, 0, 0, 0
12.png, 1, 573, 50, 50, 0, 0, 0, 0
13.png, 1, 625, 50, 50, 0, 0, 0, 0
14.png, 1, 677, 50, 50, 0, 0, 0, 0
15.png, 1, 729, 50, 50, 0, 0, 0, 0
16.png, 1, 781, 50, 50, 0, 0, 0, 0
17.png, 1, 833, 50, 50, 0, 0, 0, 0
18.png, 1, 885, 50, 50, 0, 0, 0, 0
19.png, 1, 937, 50, 50, 0, 0, 0, 0
